"נושא מקור","פריטים","סיווג","יעד בעץ החדש","הערה","הורים במקור"
"פרשת שמיני","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › שמיני","","חומש ויקרא"
"פרשת ויחי","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › ויחי","","חומש בראשית"
"הכנת הגוף והמקום","4","נושא סינון","תפילה › הלכות תפילה","","תפילה"
"בשר וחלב","4","נושא סינון","הלכה › כשרות ומזון","","כשרות"
"תספורת וגילוח","4","נושא סינון","הלכה › הלכות היום-יום","","הלכה | יורה דעה"
"צדקה","4","נושא סינון","הלכה › צדקה","","מצוות הפרט"
"ברית מילה","4","נושא סינון","הלכה › ברית מילה","","אישות ומשפחה - הלכה | יורה דעה - איסור והיתר"
"כשרות ומזון","4","נושא סינון","הלכה › כשרות ומזון","","הלכה"
"מקווה- הלכה","4","נושא סינון","הלכה › טהרת המשפחה","","הלכה"
"דתיים - חילונים","4","נושא סינון","מדינת ישראל וצה""ל › דת ומדינה","","אקטואליה | מדינת ישראל"
"השפעת התפילה","3","נושא סינון","תפילה › ביאור התפילה","","תפילה"
"שובבי""ם","3","נושא סינון","חגים ומועדים › פסח וספירת העומר","","מועדים | הלכה | עבודת ה'"
"והלכת בדרכיו","3","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות | עבודת ה'"
"חינוך - הלכה","3","נושא סינון","חינוך › חינוך לתורה ומצוות","","הלכה | חינוך"
"חומש ויקרא","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא","","תורה | שיעורים בתנ""ך"
"מדרשים ואגדות","3","נושא סינון","תורה ולימוד › מדרשים ואגדות","","תורה"
"בעלי חיים - הלכה","3","מקופל (מועמד לתת-נושא)","הלכה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","הלכה"
"מצוות ישוב הארץ","3","נושא סינון","מדינת ישראל וצה""ל › ארץ ישראל","","הלכה"
"הרב מנחם בן יעקב","3","נושא סינון","אישים › רבנים ואישים","","אישים"
"פרשת וילך","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › וילך","","חומש דברים"
"ט""ו באב","3","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מועדים"
"פרשת בהר","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › בהר","","חומש ויקרא"
"פרשת אמור","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › אמור","","חומש ויקרא"
"פרשת מצורע","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › מצורע","","חומש ויקרא"
"טהרת המשפחה - הלכה","3","נושא סינון","הלכה › טהרת המשפחה","","הלכה"
"פרשת פקודי","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › פקודי","","חומש שמות"
"פרשת יתרו","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › יתרו","","חומש שמות"
"פרשת שמות","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › שמות","","חומש שמות"
"פרשת מקץ","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › מקץ","","חומש בראשית"
"פרשת אחרי מות","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › אחרי מות","","חומש ויקרא"
"ט""ו בשבט - הלכה","3","נושא סינון","חגים ומועדים › ט""ו בשבט › הלכות ט""ו בשבט","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה"
"שמיני עצרת - שמחת תורה","3","נושא סינון","חגים ומועדים › סוכות ושמחת תורה","","מועדים"
"בית הכסא","3","נושא סינון","הלכה › הלכות היום-יום","","אורח חיים - הלכות יום-יום"
"שינה וסדר הלילה","3","נושא סינון","הלכה › הלכות היום-יום","","אורח חיים - הלכות יום-יום"
"חודש אלול","3","נושא סינון","חגים ומועדים › ימים נוראים","","מעגל השנה"
"חודש אדר","3","נושא סינון","חגים ומועדים › פורים","","מעגל השנה"
"ונשמרתם לנפשותיכם","3","נושא סינון","הלכה › רפואה ופיקוח נפש","","הלכה"
"תורת רבי נחמן מברסלב","3","נושא סינון","תורה ולימוד › קבלה וחסידות","","תורה"
"גיור","3","נושא סינון","הלכה › גיור","","הלכה | יורה דעה"
"חיי משפחה","3","נושא סינון","זוגיות ומשפחה › הורים וילדים","","זוגיות ומשפחה"
"חגים - הלכה","3","מקופל (מועמד לתת-נושא)","הלכה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","הלכה"
"לימוד קבלה","3","נושא סינון","תורה ולימוד › קבלה וחסידות","","תורה"
"עדות","3","נושא סינון","הלכה › דיני ממונות","","הלכה"
"התורה במציאות","3","נושא סינון","אמונה › תורה ומדע","","תורה"
"שתיקה- מידות","3","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"יום העצמאות- הלכה","3","נושא סינון","חגים ומועדים › יום העצמאות ויום ירושלים › הלכות יום העצמאות","רמה שלישית: הלכות","מעגל השנה - הלכה"
"פרשת בראשית","3","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › בראשית","","חומש בראשית"
"באור תפילה","3","נושא סינון","תפילה › ביאור התפילה","","תפילה"
"ספריית חוה","2","מקופל","תורה ולימוד › ספרים","פחות מ-3 פריטים, מקופל להורה","ספרים"
"צום גדליה","2","נושא סינון","חגים ומועדים › ימים נוראים","","מועדים"
"חומרות","2","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"תפילה - הלכות","2","נושא סינון","תפילה › הלכות תפילה","","תורה | תפילה"
"מוסר בעבודה","2","מקופל","מוסר ומידות","פחות מ-3 פריטים, מקופל להורה","מוסר ומידות"
"משפחה וזוגיות","2","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"יום העצמאות - הלכה","2","נושא סינון","חגים ומועדים › יום העצמאות ויום ירושלים › הלכות יום העצמאות","רמה שלישית: הלכות","חגים - הלכה | מעגל השנה"
"מועדים - הלכה","2","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"שאלות כלליות - תפילה","2","נושא סינון","תפילה › ביאור התפילה","","תפילה"
"L'état d'Israël","2","אוסף/מכל","Cours en Français (/french)","",""
"השכמת הבוקר","2","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים - הלכות יום-יום"
"תולדות","2","מקופל","תורה ולימוד › פרשת השבוע › בראשית","פחות מ-3 פריטים, מקופל להורה","חומש בראשית"
"וירא","2","מקופל","תורה ולימוד › פרשת השבוע › בראשית","פחות מ-3 פריטים, מקופל להורה","חומש בראשית"
"גניזה - הלכה","2","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"חיי שרה","2","מקופל","תורה ולימוד › פרשת השבוע › בראשית","פחות מ-3 פריטים, מקופל להורה","חומש בראשית"
"בשר וחלב - הלכה","2","נושא סינון","הלכה › כשרות ומזון › הלכות בשר וחלב","רמה שלישית: הלכות","יורה דעה - איסור והיתר"
"חג הסיגד","2","מקופל","חגים ומועדים","פחות מ-3 פריטים, מקופל להורה","מועדים"
"מכינות קדם צבאיות","2","נושא סינון","תורה ולימוד › ישיבות ומכינות","","תורה"
"פרשת מסעי","2","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › מסעי","","חומש במדבר"
"פרשת קרח","2","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › קרח","","חומש במדבר"
"גירושין","2","מקופל","זוגיות ומשפחה › חיי זוגיות","פחות מ-3 פריטים, מקופל להורה","שמירת התא המשפחתי"
"עבודת ה'","2","נושא סינון","אמונה › עבודת ה'","","אמונה"
"תחנון","2","מקופל","תפילה","פחות מ-3 פריטים, מקופל להורה","תפילה"
"מנחה ומעריב","2","נושא סינון","תפילה › הלכות תפילה","","תפילה"
"יום השואה ויום הזיכרון","2","נושא סינון","חגים ומועדים › ימי זיכרון ושואה","","מועדים | מעגל השנה"
"יום הכיפורים","2","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","מעגל השנה"
"תענית אסתר","2","נושא סינון","חגים ומועדים › פורים","","מועדים"
"הורים - ילדים","2","מקופל","זוגיות ומשפחה","פחות מ-3 פריטים, מקופל להורה","זוגיות ומשפחה"
"שמחת תורה","2","נושא סינון","חגים ומועדים › סוכות ושמחת תורה","","מועדים"
"מזוזה - הלכה","2","נושא סינון","הלכה › מצוות ומנהגים › הלכות מזוזה","רמה שלישית: הלכות","הלכה"
"אקטואליה:שונות","2","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | שונות","אקטואליה"
"אקטואליה:הלכות שונות","2","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | הלכות שונות","אקטואליה"
"גאולה","2","נושא סינון","אמונה › גאולה ומשיח","","עניינים שונים"
"שיעורי ארח""צ בישיבה","1","אוסף/מכל","מקור: ישיבת עטרת ירושלים","",""
"זןגיות","1","כפילות/שגיאת כתיב","זוגיות ומשפחה › חיי זוגיות","כפילות של ""זוגיות""","עניינים שונים"
"תשעה באב - הלכה","1","נושא סינון","חגים ומועדים › בין המצרים ותעניות › הלכות תשעה באב","רמה שלישית: הלכות","חגים - הלכה"
"תענית יחיד","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"Elections","1","אוסף/מכל","Cours en Français (/french)","",""
"Alyah","1","אוסף/מכל","Cours en Français (/french)","",""
"Le Mashiah","1","אוסף/מכל","Cours en Français (/french)","","Emouna"
"Erets Israel","1","אוסף/מכל","Cours en Français (/french)","",""
"זקן ופיאות","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"מכון מאיר","1","מקופל","תורה ולימוד › ישיבות ומכינות","פחות מ-3 פריטים, מקופל להורה","ישיבות"
"יום ירושלים - הלכה","1","נושא סינון","חגים ומועדים › יום העצמאות ויום ירושלים › הלכות יום ירושלים","רמה שלישית: הלכות","חגים - הלכה"
"זקן ופאות","1","כפילות/שגיאת כתיב","→ זקן ופיאות","כפילות של ""זקן ופיאות""","הלכה"
"יום השואה והגבורה","1","נושא סינון","חגים ומועדים › ימי זיכרון ושואה","","מועדים"
"עשרת ימי תשובה","1","נושא סינון","חגים ומועדים › ימים נוראים","","מועדים"
"סוגיות סוגיות בגמרא","1","נושא סינון","תורה ולימוד › גמרא וסוגיות","",""
"מוסר במלחמה","1","נושא סינון","מדינת ישראל וצה""ל › צה""ל וביטחון","",""
"ונשמרתם לנפשותכם","1","כפילות/שגיאת כתיב","הלכה › רפואה ופיקוח נפש","כפילות של ""ונשמרתם לנפשותיכם""",""
"מקום התפילה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"בית המקדש","1","נושא סינון","מדינת ישראל וצה""ל › הר הבית ובית המקדש","",""
"ויצא","1","מקופל","תורה ולימוד › פרשת השבוע › בראשית","פחות מ-3 פריטים, מקופל להורה","חומש בראשית"
"משלי","1","נושא סינון","תורה ולימוד › תנ""ך","","תורה"
"לימוד תודה","1","כפילות/שגיאת כתיב","תורה ולימוד › לימוד תורה","כפילות של ""לימוד תורה""",""
"ארבע פרשיות - הלכה","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","מעגל השנה - הלכה"
"מעלת התפילה","1","מקופל","תפילה","פחות מ-3 פריטים, מקופל להורה","תפילה"
"פרשת וזאת הברכה","1","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › וזאת הברכה","","חומש דברים"
"שמירת התא השפחתי","1","כפילות/שגיאת כתיב","זוגיות ומשפחה › חיי זוגיות","כפילות של ""שמירת התא המשפחתי""","זוגיות ומשפחה"
"חוקות הגויים","1","נושא סינון","אמונה › דתות ועמים","",""
"העולם הזה","1","מקופל","אמונה","פחות מ-3 פריטים, מקופל להורה","אמונה"
"ציצית - הלכה","1","נושא סינון","הלכה › מצוות ומנהגים › הלכות ציצית","רמה שלישית: הלכות",""
"אירוסין","1","נושא סינון","זוגיות ומשפחה › שידוכים וחתונה","",""
"ספורט","1","מקופל","אקטואליה ותרבות › תרבות הפנאי","פחות מ-3 פריטים, מקופל להורה","תרבות הפנאי"
"סיום מסכת","1","נושא סינון","תורה ולימוד › גמרא וסוגיות","","תורה"
"נעליים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"כיפה","1","מקופל","הלכה › צניעות","פחות מ-3 פריטים, מקופל להורה",""
"בר-מצוה","1","כפילות/שגיאת כתיב","→ בר מצווה","כפילות של ""בר מצווה""","הלכה"
"שליח ציבור","1","נושא סינון","הלכה › הלכות ציבור","",""
"קריאת שמע","1","נושא סינון","תפילה › הלכות תפילה","",""
"שינה והטבת חלום","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"תפילת הדרך","1","נושא סינון","תפילה › ברכות","",""
"הגומל","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"הלכות התעטשות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"עירובין","1","מקופל","הלכה › שבת","פחות מ-3 פריטים, מקופל להורה",""
"יום השואה","1","נושא סינון","חגים ומועדים › ימי זיכרון ושואה","",""
"יום טוב שני של גלויות","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","אורח חיים"
"הלכות תענית","1","נושא סינון","חגים ומועדים › בין המצרים ותעניות","",""
"זכר לחורבן","1","נושא סינון","חגים ומועדים › בין המצרים ותעניות","",""
"הכותל המערבי","1","נושא סינון","מדינת ישראל וצה""ל › הר הבית ובית המקדש","",""
"עניני פיוס ומחילה","1","כפילות/שגיאת כתיב","→ ענייני פיוס ומחילה","כפילות של ""ענייני פיוס ומחילה""",""
"תוכחה ומחאה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","אורח חיים"
"סוכה","1","נושא סינון","חגים ומועדים › סוכות ושמחת תורה","",""
"שמחת תורה - הלכה","1","נושא סינון","חגים ומועדים › סוכות ושמחת תורה › הלכות שמחת תורה","רמה שלישית: הלכות","מעגל השנה"
"פורים טיש","1","מקופל","חגים ומועדים › פורים › הלכות פורים","פחות מ-3 פריטים, מקופל להורה",""
"כשרות שו""ת)","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"טבילת כלים","1","נושא סינון","הלכה › כשרות ומזון","",""
"בישול עכו""ם","1","נושא סינון","הלכה › כשרות ומזון","",""
"כפירה ופילוסופיה","1","מקופל","אמונה","פחות מ-3 פריטים, מקופל להורה","אמונה"
"כפירה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"ריבית","1","נושא סינון","הלכה › דיני ממונות","",""
"לא ילבש","1","מקופל","הלכה › כשרות ומזון","פחות מ-3 פריטים, מקופל להורה",""
"כתובת קעקע","1","מקופל","הלכה › כשרות ומזון","פחות מ-3 פריטים, מקופל להורה",""
"טבילת גבר","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"מקובלים","1","נושא סינון","תורה ולימוד › קבלה וחסידות","",""
"מרן הרב קוק","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"מלמדים ותלמידים","1","נושא סינון","חינוך › מוסדות חינוך ולימודים","",""
"לימוד תנ""ך באמונה","1","נושא סינון","תורה ולימוד › תנ""ך","",""
"שילוח הקן","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"פדיון הבן","1","מקופל","זוגיות ומשפחה › הריון ולידה","פחות מ-3 פריטים, מקופל להורה",""
"מזוזה","1","נושא סינון","הלכה › מצוות ומנהגים","",""
"בכור בהמה","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","יורה דעה"
"תרומות ומעשרות","1","נושא סינון","הלכה › כשרות ומזון","",""
"כיסוי ראש","1","מקופל","זוגיות ומשפחה › שידוכים וחתונה","פחות מ-3 פריטים, מקופל להורה",""
"פריה ורביה","1","מקופל","זוגיות ומשפחה › הריון ולידה","פחות מ-3 פריטים, מקופל להורה",""
"לידה","1","מקופל","זוגיות ומשפחה › הריון ולידה","פחות מ-3 פריטים, מקופל להורה",""
"יום הולדת","1","מקופל","חינוך › חינוך ילדים","פחות מ-3 פריטים, מקופל להורה",""
"הפרשת חלה","1","מקופל","הלכה › כשרות ומזון","פחות מ-3 פריטים, מקופל להורה",""
"ביקור חולים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"קדושת כהנים","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה",""
"קברי צדיקים","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה",""
"קבורה\בית קברות","1","מקופל","הלכה › כשרות ומזון","פחות מ-3 פריטים, מקופל להורה",""
"תרומת איברים","1","נושא סינון","הלכה › רפואה ופיקוח נפש","",""
"דברים מיוחדים","1","מקופל","הלכה › מצוות ומנהגים","פחות מ-3 פריטים, מקופל להורה","עניינים שונים"
"הלכות דירה וחנוכת הבית","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","אבן העזר"
"גניבה\גזל","1","מקופל","מוסר ומידות","פחות מ-3 פריטים, מקופל להורה",""
"שמונה עשרה","1","מקופל","תפילה","פחות מ-3 פריטים, מקופל להורה",""
"הק הבית","1","כפילות/שגיאת כתיב","מדינת ישראל וצה""ל › הר הבית ובית המקדש","כפילות של ""הר הבית""","הר הבית"
"חברות","1","מקופל","אקטואליה ותרבות › תנועות חברתיות","פחות מ-3 פריטים, מקופל להורה",""
"חינוך לתורה ולמצוות","1","כפילות/שגיאת כתיב","חינוך › חינוך לתורה ומצוות","כפילות של ""חינוך לתורה ומצוות""","אבן העזר"
"חינוך לתורה ומצוות לימוד תורה","1","תגית","חינוך › חינוך לתורה ומצוות","ביטוי ספציפי עם פריט יחיד","חינוך לתורה ומצוות"
"הכשרת כלים","1","נושא סינון","הלכה › כשרות ומזון","",""
"אמונות טפלות\דרכי אמורי - סגולות","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","הלכה"
"אישי התנ""ך","1","מקופל","תורה ולימוד › לימוד תורה","פחות מ-3 פריטים, מקופל להורה",""
"גמרא","1","נושא סינון","תורה ולימוד › גמרא וסוגיות","","תורה"
"הלכות סת""ם","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","הלכה"
"חלק'ה","1","מקופל","זוגיות ומשפחה › הריון ולידה","פחות מ-3 פריטים, מקופל להורה",""
"חליצה","1","מקופל","הלכה › נישואין ואישות","פחות מ-3 פריטים, מקופל להורה",""
"לימוד","1","מקופל","תורה ולימוד › לימוד תורה","פחות מ-3 פריטים, מקופל להורה","לימוד תורה"
"נפילות","1","מקופל","אמונה › עבודת ה'","פחות מ-3 פריטים, מקופל להורה","עבודת ה'"
"צה""ל -","1","כפילות/שגיאת כתיב","מדינת ישראל וצה""ל › צה""ל וביטחון","כפילות של ""צה""ל""",""
"צניעות - הלכה","1","נושא סינון","הלכה › צניעות","","אבן העזר"
"עם ישראל (מאמרים) [[קטגוריה: אקטואליה","1","נתיב משורשר","מדינת ישראל וצה""ל › גאולת ישראל וציונות","פוצל ל: עם ישראל | אקטואליה",""
"מוסר ומדות","1","כפילות/שגיאת כתיב","מוסר ומידות","כפילות של ""מוסר ומידות""","מוסר ומידות"
"שמירת התא המשפחתי (מאמרים) [[קטגוריה: עבודת הזוגיות","1","נתיב משורשר","זוגיות ומשפחה › חיי זוגיות","פוצל ל: שמירת התא המשפחתי | עבודת הזוגיות",""
"זוגיות בפרשה","1","פרשת השבוע","תורה ולימוד › פרשת השבוע","","תורה"
"עבודת הזוגיות (מאמרים)","1","מקופל","זוגיות ומשפחה › חיי זוגיות","פחות מ-3 פריטים, מקופל להורה","זוגיות"
"מוסריות מדינית (מאמרים","1","מקופל","מוסר ומידות › מוסר חברתי","פחות מ-3 פריטים, מקופל להורה",""
"עובדת הזוגיות","1","כפילות/שגיאת כתיב","זוגיות ומשפחה › חיי זוגיות","כפילות של ""עבודת הזוגיות""",""
"מוסר חברתי:","1","נתיב משורשר","מוסר ומידות › מוסר חברתי","פוצל ל: מוסר חברתי","מוסר חברתי"
"אבלות - הלכות (מאמרים)‎","1","תגית","הלכה › אבלות › הלכות אבלות","ביטוי ספציפי עם פריט יחיד",""
"כבוד תלמיד חכם -הלכה","1","תגית","(ללא הורה - לבדיקה)","ביטוי ספציפי עם פריט יחיד",""
"יום השואה- הלכה","1","נושא סינון","חגים ומועדים › ימי זיכרון ושואה › הלכות יום השואה","רמה שלישית: הלכות",""
"קטגוריה תפילה","1","מקופל","אקטואליה ותרבות › אקטואליה","פחות מ-3 פריטים, מקופל להורה",""
"סליחות הלכות","1","מקופל","הלכה","פחות מ-3 פריטים, מקופל להורה","חגים - הלכה"
"איך נעשים תלמיד חכם","1","תגית","תורה ולימוד › לימוד תורה","ביטוי ספציפי עם פריט יחיד","לימוד תורה"
"שידוכים והכנה לחתונה (מאמרים)‎","1","תגית","זוגיות ומשפחה › שידוכים וחתונה","ביטוי ספציפי עם פריט יחיד",""
"לימוד תורה (מאמרים)‎","1","מקופל","תורה ולימוד › לימוד תורה","פחות מ-3 פריטים, מקופל להורה",""
"איך נשכחו תקיעות השופר בגלות?","1","תגית","חגים ומועדים","שאלה","מועדים"
"האם צריך מלווים בחתונה?","1","תגית","זוגיות ומשפחה › חיי זוגיות","שאלה","זוגיות"
"למה ה' ברא את העולם?","1","תגית","אמונה","שאלה","אמונה"
"לימוד תורה בלי לחץ","1","תגית","תורה ולימוד › לימוד תורה","ביטוי ספציפי עם פריט יחיד","לימוד תורה"
"תפילה בישיבה","1","מקופל","תפילה","פחות מ-3 פריטים, מקופל להורה","תפילה"
"אלול - הלכה","1","נושא סינון","חגים ומועדים › ימים נוראים › הלכות אלול","רמה שלישית: הלכות",""
"מצוות תוכחה","1","מקופל","מוסר ומידות › מוסר חברתי","פחות מ-3 פריטים, מקופל להורה","מוסר חברתי"
"מי ראוי להיות מורה","1","תגית","חינוך","ביטוי ספציפי עם פריט יחיד","חינוך"
"אקטואליה:מוסר חברתי","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | מוסר חברתי","אקטואליה"
"יצירת התחממות כדור הארץ - מדוע הגיעה העכברת?","1","תגית","אמונה › תורה ומדע","שאלה","תורה ומדע"
"קושיות והוכחות (מאמרים)‎","1","מקופל","אמונה › שאלות באמונה","פחות מ-3 פריטים, מקופל להורה",""
"אקטואליה:מדרשים ואגדות","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | מדרשים ואגדות","אקטואליה"
"יצירת אגדות הש""ס - חוכמת נשים","1","תגית","תורה ולימוד","שארית ייבוא (""יצירת ..."")","תורה"
"אקטואליה:סכסוך ישראלי - ערבי","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | סכסוך ישראלי - ערבי","אקטואליה"
"יצירת תלמידים צעירים - יחס לערבים","1","תגית","אמונה","שארית ייבוא (""יצירת ..."")","אמונה"
"אקטואליה:אמונת חכמים","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | אמונת חכמים","אקטואליה"
"יעד מתי לשאול רב-בין קודש לחול","1","תגית","הלכה","משפט ארוך","הלכה"
"אקטואליה:לימוד תורה","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | לימוד תורה","אקטואליה"
"מדוע מסכת יבמות פותחת את מסכת נשים?","1","תגית","תורה ולימוד","שאלה","תורה"
"אקטואליה:לימוד תורה:עבודת ד'","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | לימוד תורה | עבודת ד'","אקטואליה"
"יבום - מטרת האדם","1","תגית","תורה ולימוד","ביטוי ספציפי עם פריט יחיד","תורה"
"אקטואליה:קדושה - הלכה","1","נתיב משורשר","אקטואליה ותרבות › אקטואליה","פוצל ל: אקטואליה | קדושה - הלכה","אקטואליה"
"מה עונים לדתלשי""ם?","1","תגית","אמונה","שאלה","אמונה"
"יצירת חיסון נגד חצבת","1","תגית","הלכה","שארית ייבוא (""יצירת ..."")","הלכה"
"יצירת הספד לגבריאל הירשברג","1","תגית","אישים","שארית ייבוא (""יצירת ..."")","אישים"
"לזרוק חפץ שאחרים צריכים לו","1","תגית","מוסר ומידות › מוסר חברתי","ביטוי ספציפי עם פריט יחיד","מוסר חברתי"
"אבולוציה","1","מקופל","אמונה › תורה ומדע","פחות מ-3 פריטים, מקופל להורה","תורה ומדע"
"תורה ניתנה לחכמים","1","מקופל","תורה ולימוד","פחות מ-3 פריטים, מקופל להורה","תורה"
"יצירת פירוש רש""י על התורה","1","תגית","תורה ולימוד","שארית ייבוא (""יצירת ..."")","תורה"
"תורה : לימוד תורה","1","נתיב משורשר","תורה ולימוד","פוצל ל: תורה | לימוד תורה","תורה"
"האם יש היתר הלכתי לעשן","1","תגית","הלכה","ביטוי ספציפי עם פריט יחיד","הלכה"
"תורה : הלכות שונות","1","נתיב משורשר","תורה ולימוד","פוצל ל: תורה | הלכות שונות","תורה"
"יציאה מהישיבה לצורך חתונה","1","תגית","תורה ולימוד › לימוד תורה","ביטוי ספציפי עם פריט יחיד","ישיבת עטרת ירושלים"
"חלוקת פרקים בתנ""ך לפי הנצרות - למי להצביע בבחירות לעיריית ירושלים","1","תגית","תורה ולימוד","משפט ארוך","תורה"
"תורה : הלכות ציבור : תורה : לימוד תורה","1","נתיב משורשר","תורה ולימוד","פוצל ל: תורה | הלכות ציבור | תורה | לימוד תורה","תורה"
"עריכת חלב בכלי שני - האם קיימים שדים","1","תגית","הלכה","משפט ארוך","הלכה"
"הספד על מח""ט דרור וינברג","1","תגית","אישים","ביטוי ספציפי עם פריט יחיד","אישים"
"תורה:שונות","1","נתיב משורשר","תורה ולימוד","פוצל ל: תורה | שונות","תורה"
"ל""ג בעומר - הלכה (מאמרים)‎","1","תגית","חגים ומועדים › ל""ג בעומר › הלכות ל""ג בעומר","ביטוי ספציפי עם פריט יחיד",""
"הרב קוק (מאמרים)‎","1","מקופל","אישים › הרב קוק","פחות מ-3 פריטים, מקופל להורה",""
"תורה:תרבות המערב","1","נתיב משורשר","תורה ולימוד","פוצל ל: תורה | תרבות המערב","תורה"
"תרבות המערב = תרבות יוון","1","תגית","אקטואליה ותרבות › תרבות המערב","ביטוי ספציפי עם פריט יחיד","תרבות המערב"
"יראה מאשתך","1","מקופל","זוגיות ומשפחה › חיי זוגיות","פחות מ-3 פריטים, מקופל להורה","זוגיות"
"הספד לרב יצחק וינוגרד","1","תגית","אישים","ביטוי ספציפי עם פריט יחיד","אישים"
"האם מותר ללכת לי""ט בכסליו","1","תגית","הלכה › מצוות ומנהגים","ביטוי ספציפי עם פריט יחיד","מנהגים"
"האם כל ענינה של התורה הוא להילחם בעבודה זרה?","1","תגית","תורה ולימוד","שאלה","תורה"
"אדם ידליק נרות חנוכה בשעווה ופתאום הגיעו נרות שמן?","1","תגית","חגים ומועדים › חנוכה","שאלה","חנוכה"
"תורה:חגים - הלכה","1","נתיב משורשר","תורה ולימוד","פוצל ל: תורה | חגים - הלכה","תורה"
"יצירת תפילת יגדל אלוקים חי במנגינת שיר לא כשר","1","תגית","תפילה","שארית ייבוא (""יצירת ..."")","תפילה"
"מתי להתחתן?","1","תגית","זוגיות ומשפחה › חיי זוגיות","שאלה","זוגיות"
"תלמיד חכם שסרח","1","מקופל","מוסר ומידות › מוסר חברתי","פחות מ-3 פריטים, מקופל להורה","מוסר חברתי"
"ברכת אירוסין","1","מקופל","זוגיות ומשפחה › חיי זוגיות","פחות מ-3 פריטים, מקופל להורה","זוגיות"
